FI,is a primary source of expense or depreciation data for,CO
CO,consists of,Profitability Analysis (CO-PA)
Profitability Analysis (CO-PA),receives ≥ one element ,Revenue
Profitability Analysis (CO-PA),receives ≥ o,Cost Center
Profitability Analysis (CO-PA),receives ≥ o,ABC Process
Profitability Analysis (CO-PA),receives ≥ o,Cost Settlement
Profitability Analysis (CO-PA),receives settlements of costs from ≥ o,Internal Order
Profitability Analysis (CO-PA),receives settlements of production variances from ≥ o,Cost Object
Revenue,for PA is categorised according to ≥ one market reven,Segment
CO,consists of controlling costs for,Overhead
Overhead,draws on ≥ o,Cost Center
CO,consists of controlling costs for,Product
Product,costing draws on,Bill of Material (BOM)
Product,costing draws on,Routing
CO,has the account assignment object for cost/revenue,Cost Center
CO,has the account assignment object for cost/revenue,Project
CO,has the account assignment object for cost/revenue,Order
Overhead Cost Controlling (CO-OM),posts costs to ≥ o,Cost Center
Overhead Cost Controlling (CO-OM),posts costs to ≥ o,Internal Order
Overhead Cost Controlling (CO-OM),posts ≥ one process from other S/4HANA applications ,External Cost
Cost Center,can then allocate CO-OM costs to ≥ one oth,Cost Center
Cost Center,can then allocate CO-OM costs to ≥ o,Internal Order
Cost Center,processes in,Activity-Based Costing (ABC)
Activity-Based Costing (ABC), in turn, can pass costs to ≥ o ,Cost Center
Activity-Based Costing (ABC), in turn, can pass costs to ≥ o ,Internal Order
Internal Order,can settle costs to,Cost Center
Internal Order,processes in,Activity-Based Costing (ABC)
Internal Order,processes in ≥ one oth,Internal Order
Cost Center,are separate areas where costs are incurred within,CO Area
Cost Center,created according to various criteria including,Functional Consideration
Cost Center,created according to various criteria including,Allocation Criteria
Cost Center,created according to various criteria including,Activities Provided
Cost Center,created according to various criteria including,Physical Location
Cost Center,created according to various criteria including,Management Area
Activity Type,defines the type of activity that can be provided by a,Cost Center
Activity Type,supply outputs by one (sending) cost center to ≥ one oth,Cost Center
Activity Type,supply outputs by one (sending) cost center to ≥ one oth,Order
Activity Type,supply outputs by one (sending) cost center to ≥ one oth,Process
Activity Type,represent the utilization of resources for the sending,Cost Center
Activity Type,valuate activities from a business/mgt. calculation of,Price
Internal Order,are used to plan/collect/analyze costs arising from ≥ o,Internal Activity
Universal Journal (ACDOCA),consists of,General Ledger (G/L)
Universal Journal (ACDOCA),consists of,Profitability Analysis (CO-PA)
Universal Journal (ACDOCA),consists of,CO
Universal Journal (ACDOCA),consists of,Asset Accounting (AA)
Universal Journal (ACDOCA),consists of,Material Ledger (ML)
CO Area,& its company codes must use the same operating,Chart of Accounts
CO Area,& its company codes must use the same variant of,Fiscal Year
Chart of Accounts,can link these operating accounts to a country-specific alternative account number via a,Country Chart of Accounts
Country Chart of Accounts,are stored in the accounts',Master Data Record
CO Area,in cross-company-code cost accounting can have ≥ zero differe,Currency
Currency,of a CO area can be same (or different) as that of a,Company Code
Organization,enterprise's external market segments are represented by its,Operating Concern
Operating Concern,can be assigned thus analyse together several of,CO Area
Profitability Analysis (CO-PA),can be used within the,Operating Concern
Cost Center, assign overhead costs on utilization of the relevant areas, i.e. ,Cost Determination Function
Cost Center, differentiated controlling of costs, i.e. ,Cost Controlling Function
Cost Center, can include payroll, rent, utility, or any other cost center-relevant ,Cost
Cost Center,has,Cost Center Data
Cost Center Data, basic info (CC name, description, manager, & department to assign the CC), in ,General Information
Cost Center Data, contains the standard hierarchy node to which the CC is assigned, in section ,Organizational Units
Organizational Units, has standard hierarchy node to which the CC is assigned, for ,Standard Hierarchy (SH)
Standard Hierarchy (SH),node must be filled so it can be used as a control feature in CO of,Overhead
Organizational Units, contains the SH node field to which the CC is assigned, for ,Standard Hierarchy (SH)
CO Area,each must have a unique SH that includes all CC created in that CO area's,Cost Center
Cost Center, belongs to a responsible organizational area, mostly represented by a ,Profit Center
